	T	rho	B2	P_virial	Sk0	kappa	P_kappa	mu	s2	Sk_max
40	1.0	0.41	3.62957607331	1.90323745761	0.101539436952	0.247657163297	1.73326913694	5.70058661946	-0.0868972923178	1.41580303455
41	1.0	0.42	3.62957607331	2.02638870461	0.0972340850982	0.231509726424	1.83393338512	6.02915089948	-0.0912466703568	1.43294368786
42	1.0	0.43	3.62957607331	2.15605351799	0.0931487137131	0.216624915612	1.93903328859	6.36716844929	-0.0957111157583	1.44984592178
43	1.0	0.44	3.62957607331	2.29251277746	0.0892700681453	0.202886518512	2.04872071006	6.71493391811	-0.100291653858	1.4663618226
44	1.0	0.45	3.62957607331	2.43605622023	0.0855858216006	0.190190714668	2.16315141657	7.07274477186	-0.104989345632	1.48448959302
45	1.0	0.46	3.62957607331	2.58698253965	0.0820845007386	0.178444566823	2.28248514736	7.44090148018	-0.109805287799	1.50256866799
46	1.0	0.47	3.62957607331	2.74559955526	0.0787554179696	0.167564719084	2.4068856822	7.81970768821	-0.114740612663	1.52015891645
47	1.0	0.48	3.62957607331	2.91222445565	0.0755886097918	0.1574762704	2.53652090996	8.20947037524	-0.119796487696	1.53927426866
48	1.0	0.49	3.62957607331	3.08718397162	0.072574780562	0.148111797065	2.6715628978	8.61050000378	-0.124974115328	1.55861274807
49	1.0	0.5	3.62957607331	3.27081445058	0.069705251173	0.139410502346	2.81218796076	9.02311066102	-0.130274733048	1.57734811632
50	1.0	0.51	3.62957607331	3.46346217408	0.0669719122076	0.131317474917	2.958576732	9.44762019056	-0.135699612657	1.59743546575
51	1.0	0.52	3.62957607331	3.66548340293	0.0643671810821	0.123783040542	3.11091423369	9.88435032098	-0.141250060412	1.61813148365
52	1.0	0.53	3.62957607331	3.87724466736	0.0618839628582	0.116762194072	3.26938994856	10.3336267869	-0.14692741631	1.63809744084
53	1.0	0.54	3.62957607331	4.09912295576	0.0595156143426	0.110214100634	3.4341978923	10.795779447	-0.152733053686	1.65911752205
54	1.0	0.55	3.62957607331	4.33150580406	0.0572559111703	0.104101656673	3.60553668677	11.2711423999	-0.158668379108	1.68128746375
55	1.0	0.56	3.62957607331	4.57479159663	0.0550990176217	0.098391102896	3.78360963415	11.7600540945	-0.164734831525	1.70258697013
56	1.0	0.57	3.62957607331	4.82938972976	0.0530394588937	0.0930516822696	3.96862479203	12.2628574403	-0.170933881839	1.72446702966
57	1.0	0.58	3.62957607331	5.09572084853	0.051072095618	0.0880553372724	4.16079504959	12.7798999143	-0.177267032191	1.74824873198
58	1.0	0.59	3.62957607331	5.37421695497	0.0491921004111	0.0833764413748	4.36033820484	13.3115336681	-0.183735815648	1.77100563548
59	1.0	0.6	3.62957607331	5.6653217193	0.0473949362956	0.0789915604927	4.56747704304	13.8581156311	-0.190341795156	1.79362697469
60	1.0	0.61	3.62957607331	5.96949069053	0.0456763368065	0.0748792406664	4.78243941638	14.420007614	-0.197086562791	1.81918351591
61	1.0	0.62	3.62957607331	6.28719138961	0.0440322876363	0.0710198187682	5.00545832483	14.9975764116	-0.203971739384	1.84354664418
